City_ID,City,Country,Date,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed
158,Faanui,PF,2022-10-06 04:30:17,-16.4833,-151.75,clear sky,78.08,75,7,25.23
159,Barrow,US,2022-10-06 04:30:17,71.2906,-156.7887,scattered clouds,33.82,86,40,12.66
160,Tiksi,RU,2022-10-06 04:30:18,71.6872,128.8694,light snow,24.58,87,100,15.66
161,Asau,RO,2022-10-06 04:30:18,46.4333,26.4,overcast clouds,43.72,74,100,6.02
162,Moose Factory,CA,2022-10-06 04:30:19,51.2585,-80.6094,overcast clouds,44.6,93,100,6.91
163,Gombong,ID,2022-10-06 04:30:19,-7.6072,109.5142,overcast clouds,82.65,72,92,10.27
164,Aleksandrov Gay,RU,2022-10-06 04:30:20,50.147,48.5704,overcast clouds,55.53,61,92,9.71
165,Torbay,CA,2022-10-06 04:30:20,47.6666,-52.7314,scattered clouds,48.27,92,40,12.66
166,Mitu,CO,2022-10-06 04:27:29,1.1983,-70.1733,broken clouds,72.86,96,63,1.41
167,West Odessa,US,2022-10-06 04:30:21,31.8424,-102.4988,broken clouds,67.41,70,75,13.8
168,Mariental,NA,2022-10-06 04:30:21,-24.6333,17.9667,clear sky,65.52,19,1,7.14
169,Santa Cruz,BO,2022-10-06 04:30:22,-17.8,-63.1667,broken clouds,78.26,78,75,13.8
170,San Cristobal,VE,2022-10-06 04:30:22,7.7669,-72.225,overcast clouds,69.98,96,100,3.27
171,Stornoway,GB,2022-10-06 04:30:22,58.2093,-6.3865,broken clouds,50.04,80,75,24.16
172,Champerico,GT,2022-10-06 04:30:23,14.3,-91.9167,overcast clouds,79.16,80,99,3.65
173,Hobart,AU,2022-10-06 04:27:57,-42.8794,147.3294,broken clouds,56.26,76,75,20.71
174,Rawson,AR,2022-10-06 04:26:32,-43.3002,-65.1023,overcast clouds,62.65,34,100,19.75
175,Los Llanos De Aridane,ES,2022-10-06 04:30:23,28.6585,-17.9182,overcast clouds,70.12,86,100,16.11
176,Bambous Virieux,MU,2022-10-06 04:30:24,-20.3428,57.7575,light rain,75.45,69,40,12.66
177,Kizema,RU,2022-10-06 04:30:24,61.113,44.8302,overcast clouds,46.09,97,100,0.83
178,Santa Vitoria Do Palmar,BR,2022-10-06 04:30:25,-33.5189,-53.3681,overcast clouds,58.84,83,100,11.68
179,Luanda,AO,2022-10-06 04:26:00,-8.8368,13.2343,scattered clouds,71.6,94,40,2.3
180,Matamoros,MX,2022-10-06 04:30:25,25.5333,-103.25,broken clouds,68.11,65,68,13.8
181,Shimoda,JP,2022-10-06 04:30:26,34.6667,138.95,overcast clouds,57.56,92,100,17.67
182,Hamilton,US,2022-10-06 04:29:09,39.1834,-84.5333,clear sky,58.77,72,0,0.0
183,Maragogi,BR,2022-10-06 04:30:26,-9.0122,-35.2225,few clouds,74.75,90,11,6.76
184,Oranjemund,NA,2022-10-06 04:31:27,-28.55,16.4333,clear sky,53.04,92,9,7.99
185,Chakia,IN,2022-10-06 04:31:27,26.4167,85.05,overcast clouds,80.46,79,87,14.47
186,Fokino,RU,2022-10-06 04:31:27,42.9836,132.4047,scattered clouds,49.35,29,38,6.49
187,Broken Hill,AU,2022-10-06 04:31:28,-31.95,141.4333,clear sky,80.83,19,0,16.42
188,Antofagasta,CL,2022-10-06 04:31:28,-23.65,-70.4,clear sky,56.48,59,0,10.58
189,Chioggia,IT,2022-10-06 04:31:29,45.2256,12.2889,broken clouds,63.09,78,68,3.18
190,Vilyuysk,RU,2022-10-06 04:31:29,63.7553,121.6247,overcast clouds,30.0,69,100,11.39
191,Hammerfest,NO,2022-10-06 04:31:29,70.6634,23.6821,broken clouds,43.25,75,75,10.36
