City_ID,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
331,Nome,US,broken clouds,42.87,64.5011,-165.4064,Nome
333,Nemuro,JP,overcast clouds,52.88,43.3236,145.575,Nemuro
334,Mwanza,TZ,scattered clouds,68.05,-2.5167,32.9,Mwanza
336,Komsomolskiy,UZ,clear sky,63.32,40.4272,71.7189,Fergana
341,Dunedin,NZ,overcast clouds,42.75,-45.8742,170.5036,Dunedin
343,Saint Anthony,US,clear sky,60.71,45.0205,-93.218,Minneapolis
346,Estrela,BR,light rain,59.41,-28.0611,-50.9383,Estrela
347,Marchena,ES,clear sky,68.56,37.329,-5.4168,Marchena
351,La Ciotat,FR,clear sky,69.82,43.1748,5.6045,La Ciotat
353,Asheboro,US,clear sky,55.18,35.7079,-79.8136,Asheboro
354,Karlskrona,SE,broken clouds,57.65,56.1616,15.5866,Karlskrona
356,Ahipara,NZ,broken clouds,54.27,-35.1667,173.1667,Ahipara
357,Zhoucun,CN,overcast clouds,61.9,36.8167,117.8167,Binzhou
359,Pirapo,PY,overcast clouds,66.69,-26.85,-55.5333,Pirapó
362,Dieppe,FR,few clouds,52.2,49.75,1.1667,Les Grandes-Ventes
366,Piura,PE,clear sky,62.46,-5.2,-80.6333,Piura
368,Lata,PT,scattered clouds,55.08,40.1629,-8.3327,Coimbra
369,Shelburne,CA,overcast clouds,57.65,44.0787,-80.2041,Mono
370,Duma,CN,overcast clouds,48.96,34.7653,108.135,Xianyang
372,Durban,ZA,light rain,68.92,-29.8579,31.0292,Durban
373,Irbil,IQ,clear sky,66.02,36.1926,44.0106,Erbil
374,Xinyu,CN,overcast clouds,64.42,27.8043,114.9334,Xinyu
381,Camacupa,AO,broken clouds,63.73,-12.0167,17.4833,Camacupa
383,Barth,DE,broken clouds,58.05,54.3635,12.7249,Barth
385,Coquimbo,CL,clear sky,53.33,-29.9533,-71.3436,Coquimbo
386,Grants,US,light rain,50.23,35.1473,-107.8514,Grants
387,Thibodaux,US,scattered clouds,68.99,29.7958,-90.8229,Thibodaux
388,Cotacachi,EC,light rain,53.15,0.3,-78.2667,Cotacachi
390,Nacogdoches,US,clear sky,62.24,31.6002,-94.6335,Nacogdoches
392,Juybar,IR,clear sky,69.96,36.6412,52.9124,Juybar
393,Tucuman,AR,overcast clouds,62.6,-26.8241,-65.2226,San Miguel de Tucumán
394,Glens Falls,US,clear sky,48.85,43.3095,-73.644,Queensbury
395,Olafsvik,IS,overcast clouds,43.57,64.8945,-23.7142,Ólafsvík
400,Kamloops,CA,clear sky,60.75,50.6665,-120.3192,Kamloops
401,Mezen,RU,overcast clouds,44.65,65.8522,44.24,Mezen
402,Kruisfontein,ZA,few clouds,50.88,-34.0033,24.7314,Humansdorp
405,Hami,CN,clear sky,61.97,42.8,93.45,Hami
406,Toamasina,MG,broken clouds,68.0,-18.1667,49.3833,Toamasina
407,Puquio,PE,clear sky,45.73,-14.7,-74.1333,C.p Puquio
409,Moscow,RU,broken clouds,45.37,55.7522,37.6156,Moscow
410,Constitucion,CL,broken clouds,48.33,-35.3333,-72.4167,Constitución
413,Torbeyevo,RU,overcast clouds,43.56,54.0797,43.2473,Torbeyevo
414,Arklow,IE,few clouds,56.08,52.7931,-6.1414,Arklow
415,Kjollefjord,NO,scattered clouds,42.85,70.9457,27.3465,Kjøllefjord
416,Urusha,RU,scattered clouds,41.38,54.05,122.9,Urusha
417,Westport,US,broken clouds,62.15,41.1415,-73.3579,Norwalk
420,Pafos,CY,few clouds,62.38,34.7667,32.4167,Paphos
422,Severo-Kurilsk,RU,few clouds,46.8,50.6789,156.125,Severo-Kurilsk
424,Port-Cartier,CA,overcast clouds,48.42,50.0334,-66.8654,Port-Cartier
425,East London,ZA,broken clouds,63.64,-33.0153,27.9116,East London
428,Nizhniy Odes,RU,overcast clouds,40.86,63.6445,54.856,Nižni Odes
430,Tapalpa,MX,overcast clouds,55.13,19.95,-103.7667,Centro
